time,x,y
2018-09-18 18:21:49+00:00,3.48325,10.66125
2018-09-18 18:21:49.202241+00:00,3.839,10.645
2018-09-18 18:21:49.500000+00:00,4.1815,10.65175
2018-09-18 18:21:50+00:00,4.524,10.6585
2018-09-18 18:21:50.500000+00:00,4.8665,10.66525
2018-09-18 18:21:50.635241+00:00,5.209,10.672
2018-09-18 18:21:51+00:00,5.4796,10.4726
2018-09-18 18:21:51.500000+00:00,5.7502,10.2732
2018-09-18 18:21:52+00:00,6.0208,10.0738
2018-09-18 18:21:52.500000+00:00,6.2914,9.8744
2018-09-18 18:21:52.984241+00:00,6.562,9.675
2018-09-18 18:21:53+00:00,6.9226,9.6906
2018-09-18 18:21:53.500000+00:00,7.2832,9.7062
2018-09-18 18:21:54+00:00,7.643800000000001,9.7218
2018-09-18 18:21:54.500000+00:00,8.0044,9.7374
2018-09-18 18:21:54.997241+00:00,8.365,9.753
2018-09-18 18:21:55+00:00,8.359666666666667,9.52
2018-09-18 18:21:55.500000+00:00,8.354333333333333,9.287
2018-09-18 18:21:56+00:00,8.349,9.054
2018-09-18 18:21:56.500000+00:00,8.343666666666667,8.821
2018-09-18 18:21:57+00:00,8.338333333333333,8.588000000000001
2018-09-18 18:21:57.369241+00:00,8.333,8.355
2018-09-18 18:21:57.500000+00:00,8.333,8.355
2018-09-18 20:03:15.360122+00:00,18.655001,8.471
2018-09-18 20:03:15.500000+00:00,18.64675075,8.0555
2018-09-18 20:03:16+00:00,18.6385005,7.640000000000001
2018-09-18 20:03:16.500000+00:00,18.63025025,7.2245
2018-09-18 20:03:16.756122+00:00,18.622,6.809
2018-09-18 20:03:17+00:00,18.5906,6.4646
2018-09-18 20:03:17.500000+00:00,18.5592,6.1202
2018-09-18 20:03:18+00:00,18.5278,5.7758
2018-09-18 20:03:18.500000+00:00,18.4964,5.4314
2018-09-18 20:03:18.849122+00:00,18.465,5.087
2018-09-18 20:03:19+00:00,18.53544455555556,4.892111111111111
2018-09-18 20:03:19.500000+00:00,18.60588911111111,4.697222222222222
2018-09-18 20:03:20+00:00,18.676333666666668,4.5023333333333335
2018-09-18 20:03:20.500000+00:00,18.746778222222225,4.307444444444444
2018-09-18 20:03:21+00:00,18.81722277777778,4.112555555555556
2018-09-18 20:03:21.500000+00:00,18.887667333333333,3.917666666666667
2018-09-18 20:03:22+00:00,18.95811188888889,3.722777777777778
2018-09-18 20:03:22.500000+00:00,19.028556444444444,3.527888888888889
2018-09-18 20:03:22.517122+00:00,19.099001,3.333
2018-09-18 20:03:23+00:00,19.360801,3.3916
2018-09-18 20:03:23.500000+00:00,19.622601000000003,3.4502
2018-09-18 20:03:24+00:00,19.884401,3.5088
2018-09-18 20:03:24.500000+00:00,20.146201,3.5674
2018-09-18 20:03:24.852122+00:00,20.408001,3.626
2018-09-18 20:03:25+00:00,20.39914385714286,3.8604285714285713
2018-09-18 20:03:25.500000+00:00,20.390286714285715,4.094857142857143
2018-09-18 20:03:26+00:00,20.381429571428573,4.329285714285715
2018-09-18 20:03:26.500000+00:00,20.37257242857143,4.563714285714286
2018-09-18 20:03:27+00:00,20.36371528571429,4.7981428571428575
2018-09-18 20:03:27.500000+00:00,20.354858142857143,5.032571428571429
2018-09-18 20:03:27.656122+00:00,20.346001,5.267
2018-09-18 20:03:28+00:00,20.420334166666667,5.531166666666668
2018-09-18 20:03:28.500000+00:00,20.494667333333336,5.795333333333334
2018-09-18 20:03:29+00:00,20.5690005,6.0595
2018-09-18 20:03:29.500000+00:00,20.643333666666667,6.323666666666667
2018-09-18 20:03:30+00:00,20.717666833333336,6.587833333333334
2018-09-18 20:03:30.424122+00:00,20.792,6.852
2018-09-18 20:03:30.500000+00:00,20.8081998,7.1752
2018-09-18 20:03:31+00:00,20.8243996,7.4984
2018-09-18 20:03:31.500000+00:00,20.8405994,7.8216
2018-09-18 20:03:32+00:00,20.8567992,8.1448
2018-09-18 20:03:32.012122+00:00,20.872999,8.468
2018-09-18 20:03:32.500000+00:00,20.897249,8.809750000000001
2018-09-18 20:03:33+00:00,20.921499,9.1515
2018-09-18 20:03:33.500000+00:00,20.945749,9.49325
2018-09-18 20:03:33.732122+00:00,20.969999,9.835
2018-09-18 20:03:34+00:00,21.235665666666662,9.745666666666668
2018-09-18 20:03:34.500000+00:00,21.50133233333333,9.656333333333334
2018-09-18 20:03:35+00:00,21.766999,9.567
2018-09-18 20:03:35.500000+00:00,22.032665666666663,9.477666666666666
2018-09-18 20:03:36+00:00,22.29833233333333,9.388333333333334
2018-09-18 20:03:36.016122+00:00,22.563999,9.299
2018-09-18 20:03:36.500000+00:00,22.79099933333333,9.213333333333331
2018-09-18 20:03:37+00:00,23.017999666666665,9.127666666666666
2018-09-18 20:03:37.500000+00:00,23.245,9.042
2018-09-18 20:03:38+00:00,23.47200033333333,8.956333333333333
2018-09-18 20:03:38.500000+00:00,23.699000666666667,8.870666666666667
2018-09-18 20:03:38.729122+00:00,23.926001,8.785
2018-09-18 20:03:39+00:00,24.021501,8.44175
2018-09-18 20:03:39.500000+00:00,24.117001,8.0985
2018-09-18 20:03:40+00:00,24.212501,7.75525
2018-09-18 20:03:40.093122+00:00,24.308001,7.412
2018-09-18 20:03:40.500000+00:00,24.290334166666668,7.121666666666666
2018-09-18 20:03:41+00:00,24.27266733333333,6.831333333333333
2018-09-18 20:03:41.500000+00:00,24.2550005,6.541
